"","X","grp.recording","group","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Begin.Time..s..1","End.Time..s..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Begin.Time..s..2","End.Time..s..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Begin.Time..s..3","End.Time..s..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Begin.Time..s..4","End.Time..s..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Begin.Time..s..5","End.Time..s..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","Begin.Time..s..6","End.Time..s..6","note.dur.comb","rest.dur.comb","intro.dur","trill.dur","great.call.dur","unlist.trill.rate.list.","site"
"1",1,"CR_01_001","CR_01","CR_01_001.01",1,0.955,129.2,581.4,710.6,2.042,2.997,0.551,236.9,602.9,839.8,3.268,3.82,0.337,279.9,624.5,904.4,4.18,4.516,0.337,344.5,624.5,969,4.801,5.137,0.244,387.6,646,1033.6,5.41,5.654,0.312,430.7,689.1,1119.7,5.791,6.103,2.736,1.325,4.709,6.101,10.81,7.85296574770259,"CR"
"2",56,"CR_01_001","CR_01","CR_01_001.02",2,0.885,258.4,602.9,861.3,1.827,2.711,0.685,301.5,624.5,925.9,2.868,3.553,0.628,323,646,969,3.696,4.324,0.33,387.6,646,1033.6,4.424,4.754,0.226,366.1,667.5,1033.6,5.004,5.23,0.203,387.6,689.1,1076.7,5.416,5.619,2.957,0.835,4.123,6.182,10.305,7.80860608074431,"CR"
"3",110,"CR_01_001","CR_01","CR_01_001.03",3,0.851,215.3,602.9,818.3,1.918,2.768,0.569,236.9,624.5,861.3,3.053,3.622,0.418,258.4,646,904.4,3.901,4.319,0.337,344.5,667.5,1012.1,4.557,4.894,0.255,366.1,667.5,1033.6,5.097,5.352,0.209,323,710.6,1033.6,5.538,5.747,2.639,1.19,4.497,4.973,9.47,7.78528989961073,"CR"
"4",156,"CR_01_001","CR_01","CR_01_001.04",4,0.846,258.4,624.5,882.9,1.824,2.67,0.61,279.9,624.5,904.4,2.943,3.553,0.424,301.5,646,947.5,3.831,4.255,0.354,323,667.5,990.5,4.493,4.847,0.267,344.5,667.5,1012.1,5.062,5.329,0.174,344.5,710.6,1055.1,5.55,5.724,2.675,1.225,4.242,5.987,10.229,8.07005494505494,"CR"
"5",210,"CR_01_001","CR_01","CR_01_001.05",5,0.883,258.4,602.9,861.3,1.86,2.743,0.615,236.9,624.5,861.3,2.972,3.587,0.441,301.5,646,947.5,3.849,4.29,0.319,301.5,667.5,969,4.574,4.894,0.319,323,667.5,990.5,5.114,5.433,0.232,344.5,689.1,1033.6,5.602,5.834,2.809,1.165,4.624,5.258,9.882,8.15850815850816,"CR"
"6",260,"CR_01_001","CR_01","CR_01_001.06",6,0.749,258.4,624.5,882.9,1.643,2.392,0.401,236.9,646,882.9,2.798,3.199,0.418,301.5,646,947.5,3.5,3.918,0.348,344.5,667.5,1012.1,4.162,4.51,0.255,344.5,689.1,1033.6,4.725,4.981,0.209,344.5,689.1,1033.6,5.172,5.381,2.38,1.358,4.435,4.871,9.306,7.94314381270903,"CR"
"7",306,"CR_01_001","CR_01","CR_01_001.07",7,0.829,193.8,646,839.8,1.774,2.603,0.742,236.9,624.5,861.3,2.778,3.52,0.476,301.5,646,947.5,3.767,4.243,0.366,323,646,969,4.51,4.876,0.29,344.5,667.5,1012.1,5.12,5.41,0.232,387.6,689.1,1076.7,5.637,5.869,2.935,1.16,4.82,5.48,10.3,8.08726725597141,"CR"
"8",357,"DK_01_018","DK_01","DK_01_018.01",1,0.644,107.7,538.3,646,0.122,0.766,0.627,86.1,559.9,646,0.998,1.625,0.464,107.7,559.9,667.5,1.823,2.287,0.395,107.7,581.4,689.1,2.473,2.868,0.325,150.7,581.4,732.1,3.036,3.361,0.267,193.8,581.4,775.2,3.5,3.767,2.722,0.923,4.464,11.077,15.541,7.65166697030424,"DK"
"9",450,"DK_01_018","DK_01","DK_01_018.02",2,0.679,129.2,538.3,667.5,0.157,0.836,0.621,129.2,538.3,667.5,1.086,1.707,0.511,150.7,559.9,710.6,1.921,2.432,0.377,193.8,559.9,753.7,2.676,3.053,0.372,258.4,559.9,818.3,3.25,3.622,0.221,344.5,559.9,904.4,3.773,3.994,2.781,1.056,4.493,9.926,14.419,7.34394124847001,"DK"
"10",530,"DK_01_018","DK_01","DK_01_018.03",3,0.755,129.2,538.3,667.5,0.174,0.929,0.685,107.7,559.9,667.5,1.126,1.811,0.465,107.7,559.9,667.5,1.985,2.45,0.383,129.2,559.9,689.1,2.688,3.071,0.325,172.3,559.9,732.1,3.268,3.593,0.255,258.4,581.4,839.8,3.733,3.988,2.868,0.946,4.917,7.762,12.679,7.6752959542084,"DK"
